0, 140
1, 140
2, 140
3, 140
4, 140
5, 140
6, 140
7, 140
8, 140
9, 140
10, 139
11, 136
12, 134
13, 131
14, 129
15, 128
16, 127
17, 125
18, 122
19, 119
20, 117
21, 115
22, 114
23, 111
24, 111
25, 118
26, 122
27, 129
28, 130
29, 130
30, 133
31, 135
32, 136
33, 120
34, 108
35, 93
36, 74
37, 63
38, 67
39, 70
40, 71
41, 73
42, 77
43, 80
44, 89
45, 94
46, 95
47, 98
48, 98
49, 102
50, 102
51, 98
52, 95
53, 96
54, 99
55, 103
56, 105
57, 105
58, 107
59, 103
60, 96
61, 95
62, 87
63, 88
64, 86
65, 88
66, 92
67, 92
68, 92
69, 97
70, 95
71, 100
72, 101
73, 102
74, 95
75, 94
76, 92
77, 93
78, 93
79, 93
80, 93
81, 98
82, 101
83, 99
84, 99
85, 97
86, 97
87, 99
88, 106
89, 112
90, 113
91, 111
92, 112
93, 103
94, 102
95, 109
96, 109
97, 116
98, 109
99, 101
100, 99
101, 98
102, 96
103, 89
104, 88
105, 85
106, 81
107, 81
108, 74
109, 74
110, 77
111, 75
112, 82
113, 86
114, 81
115, 84
116, 76
117, 76
118, 78
119, 74
120, 76
121, 78
122, 74
123, 74
124, 71
125, 72
126, 75
127, 74
128, 77
129, 81
130, 77
131, 81
132, 79
133, 85
134, 86
135, 86
136, 82
137, 83
138, 82
139, 77
140, 83
141, 84
142, 87
143, 94
144, 98
145, 103
146, 107
147, 102
148, 98
149, 92
150, 87
151, 86
152, 93
153, 96
154, 90
155, 81
156, 79
157, 76
158, 71
159, 72
160, 76
161, 78
162, 88
163, 84
164, 85
165, 84
166, 81
167, 77
168, 72
169, 74
170, 73
171, 75
172, 73
173, 76
174, 72
175, 71
176, 67
177, 67
178, 64
179, 71
180, 78
181, 83
182, 81
183, 80
184, 78
185, 80
186, 83
187, 91
188, 89
189, 88
190, 92
191, 96
192, 96
193, 95
194, 97
195, 84
196, 75
197, 74
198, 68
199, 65
200, 73
201, 76
202, 82
203, 80
204, 72
205, 67
206, 60
207, 62
208, 60
209, 72
210, 83
211, 89
212, 94
213, 102
214, 99
215, 103
216, 99
217, 107
218, 109
219, 109
220, 105
